,GCC0,FREQUENCIA
0,0x22,8
1,0xE7,7
2,0x63,7
3,0x83,7
4,0x14,7
5,0x46,7
6,0xAB,6
7,0x96,6
8,0x0F,6
9,0xEA,6
10,0xD9,6
11,0x90,6
12,0x65,6
13,0x53,5
14,0x1E,5
15,0xCC,5
16,0xCE,5
17,0xC1,5
18,0x9A,5
19,0xBC,5
20,0xDC,5
21,0xB6,5
22,0x10,5
23,0x3B,5
24,0xE2,5
25,0x2E,5
26,0x7B,5
27,0xF0,5
28,0xFC,5
29,0xED,5
30,0xF2,4
31,0x9B,4
32,0x06,4
33,0x6E,4
34,0x6D,4
35,0x25,4
36,0xBF,4
37,0x02,4
38,0xF9,4
39,0x9C,4
40,0x2A,4
41,0x7C,4
42,0x42,4
43,0x2F,4
44,0xA6,4
45,0xA7,4
46,0x33,4
47,0xAD,4
48,0x3A,4
49,0x48,4
50,0x88,4
51,0xD6,4
52,0x74,4
53,0xCA,4
54,0xE0,4
55,0x84,4
56,0x4A,4
57,0xC9,4
58,0x18,4
59,0x77,4
60,0xA0,3
61,0x5F,3
62,0xA2,3
63,0x64,3
64,0x5A,3
65,0x59,3
66,0x52,3
67,0x81,3
68,0x39,3
69,0x4E,3
70,0x4D,3
71,0x98,3
72,0x4C,3
73,0x8D,3
74,0x5E,3
75,0x4B,3
76,0x62,3
77,0x94,3
78,0x58,3
79,0xFF,3
80,0xD2,3
81,0xC6,3
82,0xCB,3
83,0x1C,3
84,0xCF,3
85,0x1B,3
86,0x11,3
87,0xDE,3
88,0xE3,3
89,0xE4,3
90,0x0E,3
91,0xE6,3
92,0x0D,3
93,0xEE,3
94,0xEF,3
95,0xF5,3
96,0x04,3
97,0xFA,3
98,0xFB,3
99,0xC7,3
100,0x66,3
101,0xC5,3
102,0x31,3
103,0x21,3
104,0xBA,3
105,0x28,3
106,0xB2,3
107,0x3F,2
108,0x0A,2
109,0x09,2
110,0x5C,2
111,0x5D,2
112,0x08,2
113,0x40,2
114,0x60,2
115,0x07,2
116,0x3E,2
117,0x3C,2
118,0x30,2
119,0x01,2
120,0x67,2
121,0x43,2
122,0x2C,2
123,0x49,2
124,0x2B,2
125,0x12,2
126,0x15,2
127,0x51,2
128,0x50,2
129,0x4F,2
130,0x16,2
131,0x32,2
132,0x19,2
133,0x45,2
134,0x26,2
135,0x20,2
136,0x47,2
137,0x34,2
138,0x00,2
139,0x95,2
140,0xDF,2
141,0xDD,2
142,0xDB,2
143,0xD5,2
144,0xD4,2
145,0x9F,2
146,0xA3,2
147,0xA4,2
148,0xD3,2
149,0xA5,2
150,0xD1,2
151,0xA9,2
152,0xAA,2
153,0xD0,2
154,0xCD,2
155,0xC8,2
156,0xC3,2
157,0xAF,2
158,0xB0,2
159,0xC2,2
160,0xB3,2
161,0xB7,2
162,0xB8,2
163,0xB9,2
164,0x8F,2
165,0xC0,2
166,0x8B,2
167,0x85,2
168,0x73,2
169,0x76,2
170,0x8A,2
171,0x70,2
172,0xF1,2
173,0xEC,2
174,0x6F,2
175,0x80,2
176,0xE9,2
177,0xE5,2
178,0x6C,2
179,0xF8,2
180,0x89,2
181,0x72,2
182,0x23,1
183,0xC4,1
184,0x03,1
185,0x24,1
186,0xF7,1
187,0xFD,1
188,0xF4,1
189,0x1F,1
190,0x05,1
191,0xF3,1
192,0xEB,1
193,0x0C,1
194,0x17,1
195,0xD7,1
196,0x13,1
197,0xDA,1
198,0xBE,1
199,0x68,1
200,0xAC,1
201,0xBD,1
202,0x29,1
203,0x91,1
204,0x8E,1
205,0x87,1
206,0x86,1
207,0xFE,1
208,0x56,1
209,0x57,1
210,0x7D,1
211,0x79,1
212,0x78,1
213,0x5B,1
214,0x71,1
215,0x61,1
216,0x6B,1
217,0x6A,1
218,0x93,1
219,0x97,1
220,0x99,1
221,0x36,1
222,0x2D,1
223,0xB5,1
224,0xB1,1
225,0xAE,1
226,0x69,1
227,0x35,1
228,0x37,1
229,0x44,1
230,0x38,1
231,0xA8,1
232,0x3D,1
233,0x41,1
234,0x9E,1
235,0x9D,1
236,0x7F,1
