,OCC0,FREQUENCIA
0,0xFE,7
1,0xDE,6
2,0x6A,6
3,0x12,6
4,0x9E,6
5,0xCC,6
6,0xEC,6
7,0x4F,6
8,0x0D,6
9,0xEA,5
10,0xE9,5
11,0x41,5
12,0xC8,5
13,0x15,5
14,0x96,5
15,0x2A,5
16,0x26,5
17,0xFF,5
18,0xD3,5
19,0xD1,5
20,0x22,5
21,0xBE,5
22,0x55,5
23,0x5D,5
24,0xCB,5
25,0x25,5
26,0x2C,4
27,0x64,4
28,0xB3,4
29,0x1E,4
30,0xC2,4
31,0xAA,4
32,0x38,4
33,0x2E,4
34,0xA1,4
35,0x62,4
36,0x59,4
37,0x52,4
38,0x50,4
39,0x4E,4
40,0x7E,4
41,0x4B,4
42,0x83,4
43,0x89,4
44,0x8A,4
45,0x46,4
46,0x3E,4
47,0x3D,4
48,0x35,4
49,0x9F,4
50,0xC3,4
51,0x24,4
52,0x16,4
53,0xF1,4
54,0xE0,4
55,0xE1,4
56,0xCE,4
57,0xF8,4
58,0x05,4
59,0x04,4
60,0x99,3
61,0x75,3
62,0x54,3
63,0x98,3
64,0xC9,3
65,0xC7,3
66,0xE4,3
67,0xE2,3
68,0x9D,3
69,0x34,3
70,0x9B,3
71,0xE6,3
72,0x76,3
73,0xE5,3
74,0x33,3
75,0xF6,3
76,0x42,3
77,0xF5,3
78,0x44,3
79,0x09,3
80,0xEE,3
81,0x88,3
82,0x87,3
83,0x7B,3
84,0xF3,3
85,0xF2,3
86,0xDF,3
87,0xA4,3
88,0x32,3
89,0xB6,3
90,0x03,3
91,0x1D,3
92,0xCA,3
93,0x1A,3
94,0x6C,3
95,0xBF,3
96,0xCF,3
97,0xBC,3
98,0xBB,3
99,0x21,3
100,0x19,3
101,0x23,3
102,0x18,3
103,0x17,3
104,0xD5,3
105,0x27,3
106,0x6E,3
107,0x5A,3
108,0xAB,3
109,0xDB,3
110,0x11,3
111,0x57,3
112,0x2F,3
113,0xF7,3
114,0x80,3
115,0x4D,2
116,0x58,2
117,0x02,2
118,0x36,2
119,0x06,2
120,0x07,2
121,0x1B,2
122,0x1C,2
123,0x1F,2
124,0x20,2
125,0x28,2
126,0x14,2
127,0x2B,2
128,0x2D,2
129,0x10,2
130,0x31,2
131,0x0E,2
132,0x37,2
133,0x3A,2
134,0x0A,2
135,0x43,2
136,0x08,2
137,0x47,2
138,0x63,2
139,0x81,2
140,0x66,2
141,0xBD,2
142,0x94,2
143,0x95,2
144,0x9C,2
145,0xA2,2
146,0xA5,2
147,0xA6,2
148,0xA9,2
149,0xAC,2
150,0xB0,2
151,0xB5,2
152,0xB7,2
153,0xB8,2
154,0xBA,2
155,0xC6,2
156,0x91,2
157,0xD0,2
158,0xD4,2
159,0xD6,2
160,0xD8,2
161,0xD9,2
162,0xDD,2
163,0xE8,2
164,0xED,2
165,0xF0,2
166,0xF4,2
167,0xF9,2
168,0xFA,2
169,0xFD,2
170,0x92,2
171,0x00,2
172,0x90,2
173,0x8B,2
174,0x7F,2
175,0x82,2
176,0x77,2
177,0x6F,2
178,0x86,2
179,0x72,2
180,0x8E,2
181,0x8F,2
182,0x6B,2
183,0x74,2
184,0x56,1
185,0xD7,1
186,0x0F,1
187,0x73,1
188,0x71,1
189,0xD2,1
190,0xDC,1
191,0x70,1
192,0x0B,1
193,0xE3,1
194,0xE7,1
195,0x0C,1
196,0xEB,1
197,0x5B,1
198,0xEF,1
199,0x5C,1
200,0x6D,1
201,0x5E,1
202,0x5F,1
203,0x01,1
204,0xCD,1
205,0xC1,1
206,0xC5,1
207,0xC4,1
208,0x40,1
209,0x39,1
210,0x9A,1
211,0x8D,1
212,0xA0,1
213,0x8C,1
214,0xA3,1
215,0x30,1
216,0x68,1
217,0xA8,1
218,0x48,1
219,0x4C,1
220,0x29,1
221,0xB1,1
222,0xB2,1
223,0xB4,1
224,0x7C,1
225,0x7A,1
226,0xB9,1
227,0x78,1
228,0x51,1
229,0xC0,1
230,0x3C,1
231,0xA7,1
